Property,Property Name,Date,Period,Person/Description,Control,Reference,Debit,Credit,Balance,Remarks,ledgerAccount,Source,Person/Description
black,BLACK LAKE APARTMENTS L.L.C.,2021-08-01 00:00:00 UTC,2021-08-01 00:00:00 UTC,:Reversal of J-573575,J-573596,:Reversal of J-573575,0,500,280473.61,07/21 Accr 07/8 Sarah Haynes #HH-08 #INV13003275,Internet Advertising,Lead,:Reversal of J-573575
black,BLACK LAKE APARTMENTS L.L.C.,2021-08-01 00:00:00 UTC,2021-08-01 00:00:00 UTC,:Reversal of J-573578,J-573599,:Reversal of J-573578,0,665.7,279807.91,07/21 Accr July Marketing Tarragon,Internet Advertising,Marketing,:Reversal of J-573578
black,BLACK LAKE APARTMENTS L.L.C.,2021-08-01 00:00:00 UTC,2021-08-01 00:00:00 UTC,:Reversal of J-573579,J-573600,:Reversal of J-573579,0,411.87,279396.04,07/21 Accr July Reputation.com Tarragon,Internet Advertising,Reputation.com,:Reversal of J-573579
black,BLACK LAKE APARTMENTS L.L.C.,2021-08-01 00:00:00 UTC,2021-08-01 00:00:00 UTC,:Reversal of J-574045,J-574046,:Reversal of J-574045,665.7,0,280061.74,07/21 Accr July Marketing Tarragon,Internet Advertising,Marketing,:Reversal of J-574045
pal,PALERMO AT LAKELAND L.L.C.,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-577875,J-577890,:Reversal of J-577875,0,1000,331851.52,Accrue  8/2021 Pay Per Leads,Internet Advertising,Lead,:Reversal of J-577875
pal,PALERMO AT LAKELAND L.L.C.,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-577880,J-577895,:Reversal of J-577880,0,349,331502.52,Accrue  Apt Lead - Paige Goodman,Internet Advertising,Lead,:Reversal of J-577880
pal,PALERMO AT LAKELAND L.L.C.,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-577881,J-577896,:Reversal of J-577881,0,349,331153.52,Accrue  Apt Lead - Sherrie Cinkovich,Internet Advertising,Lead,:Reversal of J-577881
renwood,RENWOOD LLC,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-578399,J-578420,:Reversal of J-578399,0,500,334122.39,Accrue  Pay Per Lease- Stafford,Internet Advertising,Lead,:Reversal of J-578399
sta,SAWYER TRAIL APARTMENTS L.L.C.,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-578499,J-578520,:Reversal of J-578499,0,500,339567.92,Accr - K-201 Lead - INV13509255,Internet Advertising,Lead,:Reversal of J-578499
sta2,SAWYER TRAIL APARTMENTS II L.L.C.,2021-09-01 00:00:00 UTC,2021-09-01 00:00:00 UTC,:Reversal of J-578759,J-578774,:Reversal of J-578759,0,450,341399.38,08.21 Accru- Q-203 Lead,Internet Advertising,Lead,:Reversal of J-578759
pal,PALERMO AT LAKELAND L.L.C.,2021-10-01 00:00:00 UTC,2021-10-01 00:00:00 UTC,:Reversal of J-582324,J-582350,:Reversal of J-582324,0,1000,359998.75,"09/21 Accr- Zillow Leads 9/2021, INV14035074",Internet Advertising,Zillow,:Reversal of J-582324
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2021-10-01 00:00:00 UTC,2021-10-01 00:00:00 UTC,:Reversal of J-582846,J-582853,:Reversal of J-582846,0,450,369095.31,09.21 Accru- G-5 Lead,Internet Advertising,Lead,:Reversal of J-582846
dwell,DWELL AT KENT STATION L.L.C.,2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587115,J-587122,:Reversal of J-587115,0,469,380514.11,10.21 Accru- Apartments.com internet ad 10/1/21-10/31/21,Internet Advertising,Apartments.com,:Reversal of J-587115
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587248,J-587274,:Reversal of J-587248,0,429,375757.19,"10/21 Accr- 10/21 ILS, Apartments.com, TBD",Internet Advertising,Apartments.com,:Reversal of J-587248
sta,SAWYER TRAIL APARTMENTS L.L.C.,2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587468,J-587475,:Reversal of J-587468,0,500,398077.41,10.21 Accru- K-202 Lead INV14543548,Internet Advertising,Lead,:Reversal of J-587468
saffron,SAFFRON (RESIDENTIAL),2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587501,J-587517,:Reversal of J-587501,0,469,395867.33,Accrue 10/2021 Internet Advertising,Internet Advertising,Advertising,:Reversal of J-587501
edition,EDITION-BOTHELL L.L.C.,2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587625,J-587659,:Reversal of J-587625,0,1000,381912.89,"10/21 Accr- Pay/Lease: 2021-10: Goodwin/Kim , Zillow Rental network , INV14593149",Internet Advertising,Zillow,:Reversal of J-587625
edition,EDITION-BOTHELL L.L.C.,2021-11-01 00:00:00 UTC,2021-11-01 00:00:00 UTC,:Reversal of J-587627,J-587661,:Reversal of J-587627,0,759,381153.89,"10/21 Accr- October ILS, Apartments.com,",Internet Advertising,Apartments.com,:Reversal of J-587627
beryl,BERYL APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591612,J-591623,:Reversal of J-591612,0,759,406469.46,11/21 Accrue Apartments dot com 11/2021 online ad,Internet Advertising,Apartments.com,:Reversal of J-591612
beryl,BERYL APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591620,J-591631,:Reversal of J-591620,0,500,405969.46,11/21 Accrue Zillow 11/21 pay per lease Rhodes,Internet Advertising,Zillow,:Reversal of J-591620
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591721,J-591743,:Reversal of J-591721,0,429,410903.47,"11/21 Accr 10/2021 internet advertising, Apt.com,114689474-4",Internet Advertising,Apartments.com,:Reversal of J-591721
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591722,J-591744,:Reversal of J-591722,0,429,410474.47,"11/21 Accr  internet advertising, Apt.com,115073477-4",Internet Advertising,Apartments.com,:Reversal of J-591722
chinook,CHINOOK PARK APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591723,J-591745,:Reversal of J-591723,0,500,409974.47,"11/21 Accr E-10 move in pay per lease, Zillow,INV15039794",Internet Advertising,Zillow,:Reversal of J-591723
cobble,COBBLE COURT APARTMENTS L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591829,J-591844,:Reversal of J-591829,0,500,410689.51,"11/21 Accr-Pay Pre Lead- Pennington,Zillow,INV15051041",Internet Advertising,Zillow,:Reversal of J-591829
dwell,DWELL AT KENT STATION L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591852,J-591858,:Reversal of J-591852,0,450,412618.55,Accru Accrue Apartment List 430 move in 11/13/21,Internet Advertising,Apartmentlist.com,:Reversal of J-591852
edition,EDITION-BOTHELL L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591971,J-591975,:Reversal of J-591971,0,759,415152.47,"10/21 Accr- Monthly lead Gen, Apartments.com, Inv 114689474-15",Internet Advertising,Apartments.com,:Reversal of J-591971
edition,EDITION-BOTHELL L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-591974,J-591976,:Reversal of J-591974,0,759,414393.47,"11/21 Accr- Monthly Lead Gen, Apartments.com, Inv 145073477-15",Internet Advertising,Apartments.com,:Reversal of J-591974
pal,PALERMO AT LAKELAND L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-592136,J-592180,:Reversal of J-592136,0,500,420283.87,"11/21 Accr Zillow Leads - November 2021,Zillow,INV15055217",Internet Advertising,Zillow,:Reversal of J-592136
stthph1,SAWYER TRAIL TOWNHOMES PHASE I L.L.C.,2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-592713,J-592715,:Reversal of J-592713,0,500,432942.8,Accr - 33-A lead,Internet Advertising,Lead,:Reversal of J-592713
saffron,SAFFRON (RESIDENTIAL),2021-12-01 00:00:00 UTC,2021-12-01 00:00:00 UTC,:Reversal of J-592935,J-592936,:Reversal of J-592935,0,469,429468.85,Re-Accrue 10/2021 Internet Advertising,Internet Advertising,Advertising,:Reversal of J-592935
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-596221,J-596241,:Reversal of J-596221,0,500,435693.99,"12/21 Accr- B-04 Makvisky M/I pay per lease, Zillow, INV15505496",Internet Advertising,Zillow,:Reversal of J-596221
dwell,DWELL AT KENT STATION L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-596493,J-596507,:Reversal of J-596493,0,450,440380.99,12/21 Apartment List Unit 524 move in 12/20,Internet Advertising,Apartmentlist.com,:Reversal of J-596493
dwell,DWELL AT KENT STATION L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-596494,J-596508,:Reversal of J-596494,0,1000,439380.99,12/21 Zillow pay per lead,Internet Advertising,Zillow,:Reversal of J-596494
edition,EDITION-BOTHELL L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597019,J-597036,:Reversal of J-597019,0,511.25,439319.74,"12/21 Accr- Pay/Lease: 2021-12 - Sharnbroich,Apartment List,INV-771883",Internet Advertising,Apartmentlist.com,:Reversal of J-597019
pal,PALERMO AT LAKELAND L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597169,J-597211,:Reversal of J-597169,0,3000,442435.01,"12/21 Accr- Zillow Leads - December 2021, Zillow, INV15519250",Internet Advertising,Zillow,:Reversal of J-597169
saffron,SAFFRON (RESIDENTIAL),2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597521,J-597539,:Reversal of J-597521,0,469,444222.01,Accrue Apts.com 12/1/21-12/30/21,Internet Advertising,Apartments.com,:Reversal of J-597521
aster,ASTER TOWNHOMES L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597615,J-597720,:Reversal of J-597615,0,500,435693.99,"12/21 Accr Internet Advertising, Casey Allen K-204, Zillow, INV15517503",Internet Advertising,Zillow,:Reversal of J-597615
renwood,RENWOOD LLC,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597619,J-597647,:Reversal of J-597619,0,1000,442435.01,Accrue  B-204 Ritz & A-301 Grover Rentals,Internet Advertising,Lead,:Reversal of J-597619
sta,SAWYER TRAIL APARTMENTS L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-597806,J-597823,:Reversal of J-597806,0,500,445191.01,Zillow E-307 Lead,Internet Advertising,Zillow,:Reversal of J-597806
stthph1,SAWYER TRAIL TOWNHOMES PHASE I L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-598690,J-598701,:Reversal of J-598690,0,500,445701.31,Zillow 30-B Lead,Internet Advertising,Zillow,:Reversal of J-598690
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-01-01 00:00:00 UTC,2022-01-01 00:00:00 UTC,:Reversal of J-598920,J-598963,:Reversal of J-598920,0,500,442784.01,Accrue  Amanda Wolf referral,Internet Advertising,Referral,:Reversal of J-598920
aster,ASTER TOWNHOMES L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-602672,J-602677,:Reversal of J-602672,0,500,447419.01,01.22 Accrue 1/2022 zillow advertising,Internet Advertising,Zillow,:Reversal of J-602672
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-602840,J-602850,:Reversal of J-602840,0,500,456144.91,01.22 Accrue D-02 Move in Referral1/10/2022,Internet Advertising,Lead,:Reversal of J-602840
black,BLACK LAKE APARTMENTS L.L.C.,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-603211,J-603256,:Reversal of J-603211,0,429,448355.01,Accrued 1/1-1/31 Apt.com Gold pkg Inv 115300347-2,Internet Advertising,Apartments.com,:Reversal of J-603211
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-603236,J-603241,:Reversal of J-603236,0,450,460691.04,"01/22 Accrue E-03 Lead APARTMENT LIST, INC. (ap072a)",Internet Advertising,Apartmentlist.com,:Reversal of J-603236
stthph2,SAWYER TRAIL TOWNHOMES PHASE II L.L.C,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-603237,J-603242,:Reversal of J-603237,0,450,460241.04,"01/22 Accrue P-04 Lead APARTMENT LIST, INC. (ap072a)",Internet Advertising,Apartmentlist.com,:Reversal of J-603237
renwood,RENWOOD LLC,2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-603844,J-603887,:Reversal of J-603844,0,349,456144.91,Accrue  1/8/2022 M/I A-204 Deal,Internet Advertising,Move-in,:Reversal of J-603844
saffron,SAFFRON (RESIDENTIAL),2022-02-01 00:00:00 UTC,2022-02-01 00:00:00 UTC,:Reversal of J-605193,J-605212,:Reversal of J-605193,0,500,458588.71,Accrue 2-209 Pay Per Lead,Internet Advertising,Lead,:Reversal of J-605193
beryl,BERYL APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-608584,J-608596,:Reversal of J-608584,0,936,461582.31,02/22 Accrue Apartments.com 02/2022 online ads,Internet Advertising,Apartments.com,:Reversal of J-608584
edition,EDITION-BOTHELL L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-608732,J-608768,:Reversal of J-608732,0,500,468499.36,"02/22 Accr- Pay Per Lease: Z. Li 2022.02,Zillow, INV16463386",Internet Advertising,Zillow,:Reversal of J-608732
fla,FOUR LAKES APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-608918,J-608940,:Reversal of J-608918,0,514.8,472126.16,"02/22 Accr-  apartments.com,APARTMENTS.COM LLC,115406925-5",Internet Advertising,Apartments.com,:Reversal of J-608918
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609010,J-609030,:Reversal of J-609010,0,469,470491.76,"Accr  Jan 2022 - Gold 3 PK Online Services, Apartments.com, inv 115300347-6",Internet Advertising,Apartments.com,:Reversal of J-609010
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609011,J-609031,:Reversal of J-609011,0,562.8,469928.96,"02/22 Accr Feb 2022 - Gold 3 PK Online Services, Apartments.com, inv 115406925-6",Internet Advertising,Apartments.com,:Reversal of J-609011
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609012,J-609032,:Reversal of J-609012,0,500,469428.96,"02/22 Accr-#230 MOVE-IN 01/29/22, Zillow Rental Network, inv16474738",Internet Advertising,Zillow,:Reversal of J-609012
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609368,J-609390,:Reversal of J-609368,0,500,478949.9,Accrue  pay per move in Lot 8,Internet Advertising,Move-in,:Reversal of J-609368
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609555,J-609563,:Reversal of J-609555,0,514.8,475631.16,02.22 Accrue Apts.com Feb service,Internet Advertising,Apartments.com,:Reversal of J-609555
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609556,J-609564,:Reversal of J-609556,0,429,475202.16,02.22 Accrue Apts.com Jan Service,Internet Advertising,Apartments.com,:Reversal of J-609556
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609560,J-609568,:Reversal of J-609560,0,1500,473702.16,02.22 Accrue zillow Holman/Faulk/ Egan,Internet Advertising,Zillow,:Reversal of J-609560
dwell,DWELL AT KENT STATION L.L.C.,2022-03-01 00:00:00 UTC,2022-03-01 00:00:00 UTC,:Reversal of J-609573,J-609574,:Reversal of J-609573,0,562.8,466266.76,Accrue Apartment.com 2/1/22-2/28/22,Internet Advertising,Apartments.com,:Reversal of J-609573
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612667,J-612674,:Reversal of J-612667,0,469,482144.96,03.22 Accrual- apartment.com 11/1/22-11/30/22,Internet Advertising,Apartments.com,:Reversal of J-612667
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612668,J-612675,:Reversal of J-612668,0,469,481675.96,03.22 Accrual- apartment.com 12/1/22-12/31/22,Internet Advertising,Apartments.com,:Reversal of J-612668
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612669,J-612676,:Reversal of J-612669,0,469,481206.96,03.22 Accrual- apartment.com 1/1/22-1/31/22,Internet Advertising,Apartments.com,:Reversal of J-612669
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612670,J-612677,:Reversal of J-612670,0,469,480737.96,03.22 Accrual- apartment.com 2/1/22-2/28/23,Internet Advertising,Apartments.com,:Reversal of J-612670
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612671,J-612678,:Reversal of J-612671,0,469,480268.96,03.22 Accrual- apartment.com 3/1/22-3/31/24,Internet Advertising,Apartments.com,:Reversal of J-612671
aspen,ASPEN GLADE APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612958,J-612960,:Reversal of J-612958,349,0,479859.56,RCLS to 54481G-09 Move-in pay per lease,Internet Advertising,Lead,:Reversal of J-612958
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-612974,J-612979,:Reversal of J-612974,0,500,483256.56,03.22 Accrue Advertising for March 2022,Internet Advertising,Advertising,:Reversal of J-612974
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-613250,J-613258,:Reversal of J-613250,469,0,480737.96,03.22 Accrual- Reverse Prior Accrual apartment.com 11/1/22-11/30/22,Internet Advertising,Apartments.com,:Reversal of J-613250
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-613251,J-613259,:Reversal of J-613251,469,0,481206.96,03.22 Accrual- Reverse Prior Accrual apartment.com 12/1/22-12/31/22,Internet Advertising,Apartments.com,:Reversal of J-613251
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-613252,J-613260,:Reversal of J-613252,469,0,481675.96,03.22 Accrual- Reverse Prior Accrual apartment.com 1/1/22-1/31/22,Internet Advertising,Apartments.com,:Reversal of J-613252
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-613253,J-613261,:Reversal of J-613253,469,0,482144.96,03.22 Accrual- Reverse Prior Accrual apartment.com 2/1/22-2/28/23,Internet Advertising,Apartments.com,:Reversal of J-613253
dwell,DWELL AT KENT STATION L.L.C.,2022-04-01 00:00:00 UTC,2022-04-01 00:00:00 UTC,:Reversal of J-613254,J-613262,:Reversal of J-613254,469,0,482613.96,03.22 Accrual- Reverse Prior Accrual apartment.com 3/1/22-3/31/24,Internet Advertising,Apartments.com,:Reversal of J-613254
sta,SAWYER TRAIL APARTMENTS L.L.C.,2022-05-01 00:00:00 UTC,2022-05-01 00:00:00 UTC,:Reversal of J-619241,J-619264,:Reversal of J-619241,0,1000,514347.79,04/22 Accrue Zillow - E-201 & D-101 Leads,Internet Advertising,Zillow,:Reversal of J-619241
wactsf,WASHINGTON COURT RESIDENTIAL L.L.C.,2022-05-01 00:00:00 UTC,2022-05-01 00:00:00 UTC,:Reversal of J-621254,J-621273,:Reversal of J-621254,0,500,526014.19,"Accrue zillow pay per lease, Molotte",Internet Advertising,Zillow,:Reversal of J-621254
aster,ASTER TOWNHOMES L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,01.22 Accruals :Reversed by J-602677,J-602672,01.22 Accruals,500,0,436193.99,01.22 Accrue 1/2022 zillow advertising,Internet Advertising,Zillow,01.22 Accruals :Reversed by J-602677
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-01-31 00:00:00 UTC,2022-01-01 00:00:00 UTC,01.22 Accruals :Reversed by J-602850,J-602840,01.22 Accruals,500,0,443284.01,01.22 Accrue D-02 Move in Referral1/10/2022,Internet Advertising,Referral,01.22 Accruals :Reversed by J-602850
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02.22 Accruals :Reversed by J-609563,J-609555,02.22 Accruals,514.8,0,456659.71,02.22 Accrue Apts.com Feb service,Internet Advertising,Apartments.com,02.22 Accruals :Reversed by J-609563
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02.22 Accruals :Reversed by J-609564,J-609556,02.22 Accruals,429,0,457088.71,02.22 Accrue Apts.com Jan Service,Internet Advertising,Apartments.com,02.22 Accruals :Reversed by J-609564
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02.22 Accruals :Reversed by J-609568,J-609560,02.22 Accruals,1500,0,458588.71,02.22 Accrue zillow Holman/Faulk/ Egan,Internet Advertising,Zillow,02.22 Accruals :Reversed by J-609568
edition,EDITION-BOTHELL L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Accr :Reversed by J-608768,J-608732,02/22 Accr,500,0,451470.71,"02/22 Accr- Pay Per Lease: Z. Li 2022.02,Zillow, INV16463386",Internet Advertising,Zillow,02/22 Accr :Reversed by J-608768
fla,FOUR LAKES APARTMENTS L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Accr :Reversed by J-608940,J-608918,02/22 Accr,514.8,0,451985.51,"02/22 Accr-  apartments.com,APARTMENTS.COM LLC,115406925-5",Internet Advertising,Apartments.com,02/22 Accr :Reversed by J-608940
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Accr :Reversed by J-609030,J-609010,02/22 Accr,469,0,454733.11,"Accr  Jan 2022 - Gold 3 PK Online Services, Apartments.com, inv 115300347-6",Internet Advertising,Apartments.com,02/22 Accr :Reversed by J-609030
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Accr :Reversed by J-609031,J-609011,02/22 Accr,562.8,0,455295.91,"02/22 Accr Feb 2022 - Gold 3 PK Online Services, Apartments.com, inv 115406925-6",Internet Advertising,Apartments.com,02/22 Accr :Reversed by J-609031
monticl2,"MONTICELLO APARTMENTS II, LLC",2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Accr :Reversed by J-609032,J-609012,02/22 Accr,500,0,455795.91,"02/22 Accr-#230 MOVE-IN 01/29/22, Zillow Rental Network, inv16474738",Internet Advertising,Zillow,02/22 Accr :Reversed by J-609032
cobble,COBBLE COURT APARTMENTS L.L.C.,2022-02-28 00:00:00 UTC,2022-02-01 00:00:00 UTC,02/22 Rlcs,J-609540,02/22 Rlcs,0,874.8,449417.61,"02/22 Rlcs To 11670, Internet Advertising 3/1-3/31",Internet Advertising,Advertising,02/22 Rlcs
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612674,J-612667,03.22 Accruals,469,0,467298.56,03.22 Accrual- apartment.com 11/1/22-11/30/22,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-612674
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612675,J-612668,03.22 Accruals,469,0,467767.56,03.22 Accrual- apartment.com 12/1/22-12/31/22,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-612675
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612676,J-612669,03.22 Accruals,469,0,468236.56,03.22 Accrual- apartment.com 1/1/22-1/31/22,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-612676
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612677,J-612670,03.22 Accruals,469,0,468705.56,03.22 Accrual- apartment.com 2/1/22-2/28/23,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-612677
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612678,J-612671,03.22 Accruals,469,0,469174.56,03.22 Accrual- apartment.com 3/1/22-3/31/24,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-612678
rpa,RIVERSIDE PARK APARTMENTS L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-612979,J-612974,03.22 Accruals,500,0,475166.96,03.22 Accrue Advertising for March 2022,Internet Advertising,Advertising,03.22 Accruals :Reversed by J-612979
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-613258,J-613250,03.22 Accruals,0,469,468705.56,03.22 Accrual- Reverse Prior Accrual apartment.com 11/1/22-11/30/22,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-613258
dwell,DWELL AT KENT STATION L.L.C.,2022-03-31 00:00:00 UTC,2022-03-01 00:00:00 UTC,03.22 Accruals :Reversed by J-613259,J-613251,03.22 Accruals,0,469,468236.56,03.22 Accrual- Reverse Prior Accrual apartment.com 12/1/22-12/31/22,Internet Advertising,Apartments.com,03.22 Accruals :Reversed by J-613259
